,Attributes,Objects,N0,N1,N2
0,500,250,4.286896228790283,3.3378746509552,3.3799870014190674
1,500,500,3.8803164958953857,3.8878369331359863,3.8432178497314453
2,500,750,7.168058395385742,5.450993299484253,4.987259864807129
3,500,1000,3.255655527114868,3.3388774394989014,6.125786781311035
4,500,1250,3.776540994644165,7.437775611877441,7.829430341720581
5,500,1500,8.001775026321411,8.557753086090088,8.686673641204834
6,500,1750,8.986894130706787,9.53299617767334,8.908186674118042
7,500,2000,9.992066383361816,10.087363719940186,9.870254755020142
8,1000,250,4.374130010604858,3.4607012271881104,4.143015623092651
9,1000,500,3.7940866947174072,3.892850160598755,3.7930853366851807
10,1000,750,5.140166282653809,5.038395881652832,2.6620779037475586
11,1000,1000,6.140827178955078,6.186448335647583,6.070138931274414
12,1000,1250,7.150512218475342,10.372200965881348,7.164047479629517
13,1000,1500,4.256316423416138,8.18425989151001,8.015070676803589
14,1000,1750,9.059587717056274,9.110723495483398,4.908343076705933
15,1000,2000,9.77599310874939,9.91586446762085,9.831736326217651
16,1500,250,3.363943338394165,3.309799909591675,3.3428874015808105
17,1500,500,3.921426296234131,3.7910797595977783,3.9424827098846436
18,1500,750,5.107579946517944,5.150694131851196,5.193307399749756
19,1500,1000,3.2015130519866943,6.1949708461761475,3.260669231414795
20,1500,1250,7.087845087051392,7.478383302688599,7.233232736587524
21,1500,1500,8.11808443069458,8.35257363319397,4.395687103271484
22,1500,1750,9.011459350585938,4.741116762161255,9.036526679992676
23,1500,2000,10.039192199707031,9.771787166595459,5.326411724090576
24,2000,250,3.301778793334961,4.12045431137085,3.3890109062194824
25,2000,500,3.8963592052459717,3.8517425060272217,3.865276575088501
26,2000,750,5.107079029083252,4.999793529510498,2.658067226409912
27,2000,1000,3.1975021362304688,6.100720643997192,3.1323282718658447
28,2000,1250,7.132464170455933,7.137476682662964,7.4895524978637695
29,2000,1500,8.053914308547974,8.096037864685059,8.871121883392334
30,2000,1750,9.015972375869751,8.855745553970337,12.856682538986206
31,2000,2000,9.930421590805054,5.0559868812561035,9.733879804611206
32,2500,250,3.3283495903015137,4.125969648361206,3.3930208683013916
33,2500,500,5.505638360977173,3.7790474891662598,3.8231654167175293
34,2500,750,2.6635818481445312,2.6049258708953857,4.99478006362915
35,2500,1000,6.1323041915893555,5.90069842338562,6.1814353466033936
36,2500,1250,7.388644695281982,3.652712106704712,6.954992294311523
37,2500,1500,9.014968156814575,4.1154420375823975,8.030350685119629
38,2500,1750,4.809788227081299,4.648858308792114,9.075630187988281
39,2500,2000,10.471853733062744,9.812589406967163,5.159718036651611
40,3000,250,3.5384066104888916,3.247134208679199,4.16106390953064
41,3000,500,4.479410886764526,3.6928188800811768,5.394341468811035
42,3000,750,5.534214019775391,6.984078645706177,5.085020542144775
43,3000,1000,6.2827043533325195,3.1163034439086914,3.180957555770874
44,3000,1250,3.8437187671661377,3.6973304748535156,7.14700174331665
45,3000,1500,8.22186017036438,7.900505542755127,8.679577112197876
46,3000,1750,9.337419748306274,8.790382146835327,9.410531520843506
47,3000,2000,10.499415397644043,9.65817904472351,10.114392042160034
48,3500,250,3.63165545463562,3.2511439323425293,4.274364709854126
49,3500,500,4.12195897102356,3.6903111934661865,3.8522422313690186
50,3500,750,2.7718703746795654,7.043226003646851,5.054438829421997
51,3500,1000,6.33133339881897,3.0962321758270264,5.929264307022095
52,3500,1250,4.396695613861084,3.626140594482422,7.1605377197265625
53,3500,1500,8.374264001846313,8.044474840164185,8.026840686798096
54,3500,1750,9.128270149230957,8.744712114334106,8.810425519943237
55,3500,2000,10.009613513946533,9.76146149635315,9.86422610282898
56,4000,250,3.325843095779419,3.2922537326812744,3.239112138748169
57,4000,500,5.528700113296509,5.307110786437988,3.8211593627929688
58,4000,750,5.110087156295776,4.877969264984131,5.089531898498535
59,4000,1000,3.199004888534546,5.8996851444244385,8.72469687461853
60,4000,1250,7.116420745849609,6.987590074539185,7.149517774581909
61,4000,1500,8.093017578125,7.81079888343811,4.274363994598389
62,4000,1750,4.776161193847656,8.656027793884277,8.95132064819336
63,4000,2000,9.949954509735107,9.90229058265686,9.89879059791565
